customer_code,customer_name,customer_group,email
C00280,PINNACLE CONDOMINIUM,OTHER,PINNACLEAPM@AKAM.COM
C00281,1886 CRESCENT HOTEL & SPA,HHOA,CRESCENTROOMSDIVISION@GMAIL.COM
C00282,SRI--- SRI MANAGEMENT LLC.,SRI,DAVID.DAYTON@SRIMGT.COM
C00283,SRI--- THE LANDING OF PANAMA CITY BEACH,SRI,LATISHA.CROOM@SEAGRASSVILLAGEPCB.COM
C00284,"RITZ-CARLTON, ST. THOMAS",RITZ-CARLTON,JO-ANNE.FELIX@RITZCARLTON.COM
C00285,COMPASS USA-CHARTWELLS FIU,CHARTWELLS,ALEJANDRO.POLANCO@COMPASS-USA.COM
C00286,CVPS SOLUTIONS,OTHER,JOHN.DANIELS@CVPS.SOLUTIONS
C00287,PRIVE,KW PROPERTIES,OPERATIONS@PRIVEATISLANDESTATES.CO
C00288,TPC SAWGRASS,OTHER,LORIWELTY@PGATOURTPC.COM
C00289,SRI--- SUPERIOR RESIDENCES OCALA,SRI,
C00290,MIRAGE CONDO,KW PROPERTIES,MSUERO@KWPMC.COM
C00291,RESTLESS DEVELOPMENT,OTHER,SHELDONPEARCE63@GMAIL.COM
C00292,SRI--- SUPERIOR RESIDENCES BRANDON,SRI,
C00293,EVOLUTION PARKING,OTHER,BELLIS@EVOLUTIONPGS.COM
C00294,SRI--- CLAIBORNE AT THIBODAUX,SRI,RTALBOT@THECLAIBORNE.COM
C00295,ARTECITY PARK,KW PROPERTIES,TMUNOZ@KWPMC.COM
C00296,BRICKELL HEIGHTS,KW PROPERTIES,NKNITTEL@KWPMC.COM
C00297,BRICKELL HEIGHTS:EAST TOWER,KW PROPERTIES,MSUERO@KWPMC.COM
C00298,BRICKELL HEIGHTS:WEST TOWER,KW PROPERTIES,CODIO@KWPMC.COM
C00299,MONDRIAN SOUTH BEACH HOTEL,OTHER,CZAWADZKAS@MONDRIANSOUTHBEACH.COM
C00300,CONRAD FT. LAUDERDALE BEACH,OTHER,PAM.ROBINSON@CONRADHOTELS.COM
C00301,HILTON - PHILADELPHIA PENN'S LANDING,HILTON,REBECCA.WREDBERG@HILTON.COM
C00302,USC HOTEL,OTHER,LEE113@USC.EDU
C00303,RUSTIC INN,OTHER,INFO@RUSTICJH.COM
C00304,SEDANO'S ECOMMERCE MARKETPLACE,SEDANO'S,
C00305,TISHMAN SPEYER-ONE BUSH ST.,OTHER,KRIVERA@TISHMANSPEYER.COM
C00306,SRI--- ARBORS OF GULF BREEZE,SRI,JACKIE.HAYES@ARBORSOFGULFBREEZE.COM
C00307,MR. C COCONUT GROVE,OTHER,LBALDONI@MRCHOTELS.COM
C00308,GRAND ASSOCIATION,OTHER,C.DWECK@GRANDCONDOMINIUM.COM
