hotel_name,brand,city,state,country,opening_date,room_count,room_count_confidence,hotel_type,project_type,management_company,developer,owner,investment_amount,amenities,key_insights,contact_name,contact_title,contact_email,contact_phone,contact_company,contact_relevance,lead_priority,lead_priority_reason,months_to_opening,uniform_decision_window,confidence_score,source_url,source_name,scraped_at
Delano Miami Beach,Delano,Miami Beach,Florida,USA,early 2026,171,confirmed,luxury,renovation,,Ennismore and Cain,,,"wellness studio, holistic social spa, four restaurant and bar concepts, recreation of the Rose Bar, preservation of key historical features, terrazzo floors, white columns, Delano Pool","Reopening with a reimagined experience, paying homage to Art Deco roots. Unique amenity: apple-shaped glass vessel with curated treats.",,,,,,MEDIUM,⚫ MISSED,Opening in 2 months - uniforms likely purchased,2,MISSED,0.75,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,2026-01-29T15:32:02.611752
White Elephant Aspen,White Elephant Resorts,Aspen,Colorado,USA,Feb-26,54,confirmed,luxury,new_construction,,White Elephant Resorts,,,"Ajax Penthouse (three bedrooms, large terrace), on-brand accents (brass elephant trunks, elephant knockers), over 50 original artworks, on-site boot lounge with heated ski lockers and outdoor gear",Sophisticated brand of hospitality. Playful design elements.,,,,,,MEDIUM,⚫ MISSED,Opening in 1 months - uniforms likely purchased,1,MISSED,0.75,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,2026-01-29T15:32:02.611752
The Cooper,,Charleston,South Carolina,USA,Mar-26,191,confirmed,luxury,new_construction,,Beemok Hospitality Collection,,,"four on-site food and beverage destinations, 7,000-square-foot spa (treatments, red-light therapy beds, cryotherapy loungers, experiential showers, compression sleeves), on-site marina with luxury vessels",City's first luxury waterfront hotel on the peninsula. Inspired by coastal Southern homes. Many rooms feature private balconies.,,,,,,MEDIUM,⚫ MISSED,Opening in 2 months - uniforms likely purchased,2,MISSED,0.75,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,2026-01-29T15:32:02.611752
The Vanderpump Hotel,,Las Vegas,Nevada,USA,spring 2026,188,confirmed,luxury,renovation,,Lisa Vanderpump,Caesars Entertainment,,"glamorous new lounge, reimagined casino floor",TV personality Lisa Vanderpump's first hotel. Taking over The Cromwell.,,,,,,MEDIUM,🔴 HOT,Opening in 3 months - UNIFORM DECISIONS NOW!,3,NOW,0.75,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,2026-01-29T15:32:02.611752
SongTeller Hotel,,Nashville,Tennessee,USA,Jun-26,245,confirmed,boutique,new_construction,,Dolly Parton and Herschend,,,"two entertainment venues (Parton’s Live and Jolene’s), Dolly’s Life of Many Colors museum (20,000 sq ft), unique themed suites (Acoustic Suites, Six Sisters Suites, SongTeller Suite)",Dolly Parton’s first Nashville hotel. Embodies the essence of the country singer with immersive storytelling elements inspired by her songs and journey.,,,,,,MEDIUM,🔴 HOT,Opening in 5 months - UNIFORM DECISIONS NOW!,5,NOW,0.75,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,2026-01-29T15:32:02.611752
Six Senses RiverStone Estate,Six Senses,Foxburg,Pennsylvania,USA,2028,77,confirmed,luxury/upscale/lifestyle/boutique/resort,new_construction,,IHG Hotels & Resorts,,,"Spa, indoor and outdoor fitness, meditation classes, specialty restaurant, tasting bars, dining pop-up, equestrian center, riding arena, equine therapy programs","Wellness-oriented resort, occupies nearly 1,200 acres, historic property with a stone mansion and carriage house, 50 miles of trails, seven miles of riverfront, 'off-grid vibe' with 'luxurious amenities', emphasis on local organic produce and game.",,,,,,MEDIUM,🔵 COLD,Opening in 29 months - too early,29,LATER,0.75,https://www.hoteldive.com/news/six-senses-pennsylvania-expansion/727462/,Hotel Dive,2026-01-29T15:33:21.690640
The Greenleigh Hotel,Autograph Collection,Houston,Texas,USA,summer 2026,299,confirmed,luxury lifestyle,new_construction,,,,,"rooftop bar with city views, dLeña (signature restaurant offering wood-fired Mexican and Oaxacan cuisine), over 13,000 square feet of indoor/outdoor meetings and events space",Located in the prestigious River Oaks district.,,,,,,MEDIUM,🔴 HOT,Opening in 6 months - UNIFORM DECISIONS NOW!,6,NOW,0.7,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,2026-01-29T15:32:02.611752
Canopy by Hilton at Deer Valley,Canopy by Hilton,Heber City,Utah,USA,Q2 2026,180,confirmed,upscale,new_construction,,,,,"signature restaurant, après-ski lounge, coffee shop, rooftop lounge with mountain views, pool, hot tub, steam room, sauna, fitness center, golf simulator, dedicated ski reception lobby, ski locker room, meeting and conference facilities","Steps from the Jordanelle Express Gondola, offering easy ski access. Canopy by Hilton brand’s first ski-destination hotel. Located in the Deer Valley East Village development near Park City.",,,,,,MEDIUM,🔴 HOT,Opening in 4 months - UNIFORM DECISIONS NOW!,4,NOW,0.7,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,2026-01-29T15:32:02.611752
The Knox Hotel,Auberge Collection,Dallas,Texas,USA,late 2026,140,confirmed,luxury lifestyle,new_construction,,,,,"second-floor restaurant, outdoor pool, spa, movement studio",Anchoring a 4-acre luxury lifestyle development. Interiors designed by Martin Brudnizki Design Studio. Reflects the vibrancy and charm of the city’s Knox Street neighborhood.,,,,,,MEDIUM,🔴 HOT,Opening in 9 months - UNIFORM DECISIONS NOW!,9,NOW,0.7,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,2026-01-29T15:32:02.611752
Resorts World New York City,,New York City,New York,USA,,2000,confirmed,upscale,expansion,,Genting Group,Genting Group,"$7.5 billion proposal, $5.5 billion physical investment","2,000-key hotel (building on 400 existing units at Hyatt Regency), 500,000-square-foot gaming floor, 7,000-seat multipurpose entertainment venue, more than 7,000 parking spaces, more than 12 acres of new public green space",Expansion of an existing slot machine establishment into a 72-acre site. Plans to have hundreds of table games by end of March 2026.,Robert DeSalvio,president,,,Genting Americas East,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.7,https://www.hoteldive.com/news/hotel-casinos-hard-rock-resorts-world-ballys-new-york/808239/,Hotel Dive,2026-01-29T15:32:23.059469
LivAway Suites,LivAway Suites,Mesa,Arizona,USA,fall 2026,,unclear,extended stay,new_construction,,West77 Partners,,,"full in-room kitchens, private bathrooms, 50-inch smart TVs",Part of LivAway's rapidly growing national development pipeline. Caters to the premium economy market. Includes SavAway club loyalty program.,Kevin Dailey,chief operating officer,,,LivAway Suites,MEDIUM,🔴 HOT,Opening in 9 months - UNIFORM DECISIONS NOW!,9,NOW,0.7,https://www.hoteldive.com/news/livaway-suites-mesa-arizona-groundbreaking/807513/,Hotel Dive,2026-01-29T15:32:30.667902
"The Resort at Pelican Hill, A St. Regis Estate",St. Regis Estates,Newport Beach,California,USA,2027,,unclear,luxury/resort,renovation,,,,,"36-hole golf courses, bungalows and villas, new culinary experiences and venues, Bella Vista Pool Caffè and Social Club, upgraded bar with commissioned mural, Villa Clubhouse, Coliseum pool","This is the launch property for Marriott's new St. Regis Estates brand extension, focusing on 'legacy-rich, leisure-led estates' with significant history, expansive grounds, and extraordinary amenities.",Kevin Kelly,General Manager,,,"The Resort at Pelican Hill, A St. Regis Estate",HIGH,🟠 WARM,Opening in 17 months - perfect timing,17,SOON,0.65,https://www.hoteldive.com/news/marriott-regis-brand-extension-luxury-hospitality/807137/,Hotel Dive,2026-01-29T15:32:35.043477
Under Canvas White Mountains,Under Canvas,Dalton,New Hampshire,USA,Jun-26,,unclear,resort,new_construction,,Under Canvas,,,"safari-inspired canvas tents with West Elm furnishings, private deck, ensuite bathroom, king-size bed, wood-burning stove, USB battery packs",Outdoor hospitality brand expanding in the Northeast. Set on 86 scenic acres with views of Mount Washington and the Presidential Range. Hyatt entered an exclusive partnership with Under Canvas in 2024.,,,,,,MEDIUM,🔴 HOT,Opening in 5 months - UNIFORM DECISIONS NOW!,5,NOW,0.6,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,2026-01-29T15:32:02.611752
One Beverly Hills,Aman,Beverly Hills,California,USA,phased delivery of the project for 2027,,unclear,luxury,new_construction,,Cain International,,$10 billion,restaurants,Targeted at individuals with a stratospheric net worth. Will include two residential towers with fewer than 200 uber-luxury condominiums branded by the Aman Group.,,,,,,MEDIUM,🟠 WARM,Opening in 17 months - perfect timing,17,SOON,0.6,https://www.hoteldive.com/news/one-beverly-hills-vertical-construction/807320/,Hotel Dive,2026-01-29T15:32:28.531739
Municipal Grand,Midnight Auteur,Savannah,Georgia,USA,this year,,unclear,boutique/lifestyle,new_construction,,Silverstone Development,,,,Inaugural property for cocktail-forward lifestyle hotel brand Midnight Auteur.,,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.6,https://www.hoteldive.com/news/boutique-hotel-market-opportunities/807256/,Hotel Dive,2026-01-29T15:32:33.983950
voco Times Square – Broadway,voco,New York City,New York,USA,early 2026,,unclear,upscale,new_construction,,,,,rooftop bar,"Pet-friendly, cashless property located steps from Broadway.",,,,,,MEDIUM,⚫ MISSED,Opening in 2 months - uniforms likely purchased,2,MISSED,0.55,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,2026-01-29T15:32:02.611752
Signia by Hilton Indianapolis,Signia by Hilton,Indianapolis,Indiana,USA,fall 2026,,unclear,upscale,new_construction,,,,,"over 90,000 square feet of meeting space (including a 50,000-square-foot ballroom), seven culinary concepts (including an upscale fine-dining restaurant), rooftop bar and pool, fitness center, Club Signia (executive lounge)",Set to be the city’s tallest hotel. Direct access to the convention center and Lucas Oil Stadium via a skywalk.,,,,,,MEDIUM,🔴 HOT,Opening in 9 months - UNIFORM DECISIONS NOW!,9,NOW,0.55,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,2026-01-29T15:32:02.611752
Dolly Parton's first Nashville hotel,,Nashville,Tennessee,USA,2026,,unclear,,new_construction,,,,,,This is Dolly Parton's first hotel.,,,,,,MEDIUM,🔴 HOT,Opening in 5 months - UNIFORM DECISIONS NOW!,5,NOW,0.55,https://www.hoteldive.com/topic/brands/,Hotel Dive,2026-01-29T15:33:06.859048
Hyatt Studios,Hyatt Studios,Mobile,Alabama,USA,this year,,unclear,,new_construction,,,,,,Inaugural property for the brand.,,,,,Hyatt Hotels,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.55,https://www.hoteldive.com/news/hotel-construction-pipeline-Q4-2024/738107/,Hotel Dive,2026-01-29T15:33:41.517422
InterContinental Indianapolis,InterContinental,Indianapolis,Indiana,USA,this year,,unclear,,new_construction,,,,,,,,,,,IHG Hotels & Resorts,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.55,https://www.hoteldive.com/news/hotel-construction-pipeline-Q4-2024/738107/,Hotel Dive,2026-01-29T15:33:41.517422
W New York,W Hotels,New York,New York,USA,this year,,unclear,,new_construction,,,,,,,,,,,Marriott,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.55,https://www.hoteldive.com/news/hotel-construction-pipeline-Q4-2024/738107/,Hotel Dive,2026-01-29T15:33:41.517422
The Vineta,,Palm Beach,Florida,USA,this year,,unclear,boutique,new_construction,,,,,,,,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.55,https://www.hoteldive.com/news/hotel-construction-pipeline-Q4-2024/738107/,Hotel Dive,2026-01-29T15:33:41.517422
Ruby Hotels property,Ruby Hotels,Chicago,Illinois,USA,,,unclear,urban lifestyle,new_construction,,,,,,This is IHG's first Ruby Hotels property in the US.,Jolyon Bulley,IHG Americas CEO,,,IHG Hotels & Resorts,LOW,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.5,https://www.hoteldive.com/topic/brands/,Hotel Dive,2026-01-29T15:33:06.859048
Metropolitan Park,Hard Rock,New York City,New York,USA,,,unclear,luxury/upscale,new_construction,,"Hard Rock International, Steve Cohen","Steve Cohen, Hard Rock International, McKissack & McKissack, Siebert Williams Shank & Co.",$8.1 billion,"hotel, casino and sportsbook, restaurants and bars, retail shopping, meetings and events space, 5,650-capacity theater-style venue, Taste of Queens food hall",Part of a 50-acre area surrounding Citi Field. Aims to create a sports and entertainment district.,,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.45,https://www.hoteldive.com/news/hotel-casinos-hard-rock-resorts-world-ballys-new-york/808239/,Hotel Dive,2026-01-29T15:32:23.059469
The Houston Grand Hotel — River Oaks,The Luxury Collection,Houston,Texas,USA,,,unclear,,conversion,,Saddlebrook Equity and Management,Saddlebrook Equity and Management,,,The St. Regis Houston hotel was sold and will be renovated and renamed under The Luxury Collection brand. It will maintain its global affiliation with Marriott.,,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.45,https://www.hoteldive.com/topic/brands/,Hotel Dive,2026-01-29T15:33:06.859048
Acoma House,,Denver,Colorado,USA,,,unclear,boutique/art hotel,new_construction,,,,,"unique art canvases in each room, collaboration with local artists",Immersive art hotel where every room is a unique canvas created in collaboration with local artists.,,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.4,https://www.hoteldive.com/press-release/20260129-cloudbeds-unveils-inaugural-cloudbeds-collection-100-properties-redefining-1/,Hotel Dive,2026-01-29T15:32:49.931478
The Heid Lofts,"Reside, a Wyndham Residence",Philadelphia,Pennsylvania,USA,,,unclear,apart-hotel,new_construction,,,,,,Part of a partnership between Wyndham and Reside.,,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.4,https://www.hoteldive.com/topic/brands/,Hotel Dive,2026-01-29T15:33:06.859048
"The Standard, High Line",The Standard,New York City,New York,USA,,,unclear,lifestyle,conversion,,,,,,"Part of Hyatt's acquisition of Standard International. Focus on unique experiences, creative environments, and cultural relevance.",,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.4,https://www.hoteldive.com/news/lifestyle-luxury-brand-acquisition-/724975/,Hotel Dive,2026-01-29T15:33:12.890716
PUBLIC hotel brand,PUBLIC,,,,,,unclear,lifestyle,acquisitions and conversions,Highgate,Ian Schrager,,,,The joint venture will scale the PUBLIC brand through acquisitions and conversions of current Highgate properties.,,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.35,https://www.hoteldive.com/topic/development/,Hotel Dive,2026-01-29T15:31:53.320115
Outbound Hotels mountain destination,Outbound Hotels,,Utah,USA,,,unclear,"experiential, design-forward hospitality rooted in nature and community",new_construction,,Waterton,,,,This property is part of an expanded partnership between Outbound owner Waterton and asset management firm Barings.,,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.35,https://www.hoteldive.com/topic/brands/,Hotel Dive,2026-01-29T15:33:06.859048
Hilton Apartment Collection,Hilton Apartment Collection,,,,,,unclear,apartment-style accommodations,new_construction,,Placemakr,,,,"This brand will launch through a partnership with Placemakr and aims to add as many as 3,000 units to Hilton's system.",Jason Fudin,CEO,,,Placemakr,LOW,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.35,https://www.hoteldive.com/topic/brands/,Hotel Dive,2026-01-29T15:33:06.859048
Vacatia,,,USA,USA,,,unclear,,new_construction,,,,,,"Modernizing the timeshare experience with a streamlined platform that prioritizes flexibility, transparency, and long-term value for guests and owners alike.",,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.3,https://www.hoteldive.com/press-release/20260129-cloudbeds-unveils-inaugural-cloudbeds-collection-100-properties-redefining-1/,Hotel Dive,2026-01-29T15:32:49.931478
Valentines Resort & Marina,,,,The Bahamas,,,unclear,resort,new_construction,,,,,"shared waterfront spaces, dining, marina life","Laid-back luxury retreat on Harbour Island where shared waterfront spaces, dining, and marina life create natural points of connection.",,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.2,https://www.hoteldive.com/press-release/20260129-cloudbeds-unveils-inaugural-cloudbeds-collection-100-properties-redefining-1/,Hotel Dive,2026-01-29T15:32:49.931478
