hotel_name,brand,city,state,country,opening_date,room_count,room_count_confidence,hotel_type,project_type,management_company,developer,owner,investment_amount,amenities,key_insights,contact_name,contact_title,contact_email,contact_phone,contact_company,contact_relevance,lead_priority,lead_priority_reason,months_to_opening,uniform_decision_window,confidence_score,source_url,source_name,scraped_at
Jewel Paradise Cove,,Runaway Bay,,Jamaica,,225,confirmed,all-inclusive resort,sale,,,Playa,$28.5 million,beachfront,Located in the Runaway Bay Area of the north coast of Jamaica.,,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.45,https://www.caribjournal.com/cj-invest-news/transactions/,Caribbean Journal,2026-01-30T10:06:07.617999
JW Marriott,JW Marriott,Miches,,Dominican Republic,,,unclear,luxury,new_construction,,,,$500 million,,Part of a $500 million development.,David Collado,Dominican Minister of Tourism,,,Ministry of Tourism,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.4,https://www.caribjournal.com/2026/01/25/jw-marriott-autograph-miches/,Caribbean Journal,2026-01-30T10:04:56.702297
Autograph Collection Hotels,Autograph Collection,Miches,,Dominican Republic,,,unclear,upscale,new_construction,,,,$500 million,,Part of a $500 million development.,David Collado,Dominican Minister of Tourism,,,Ministry of Tourism,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.4,https://www.caribjournal.com/2026/01/25/jw-marriott-autograph-miches/,Caribbean Journal,2026-01-30T10:04:56.702297
Hammock Cove,,Antigua,,Antigua and Barbuda,,,unclear,boutique,,,,,,"hillside cottages with wet decks, private infinity pools, beach bar","Adults-only resort, features transparent kayaks, overseen by Michelin-pedigree Chef Marco Festini",Marco Festini,Chef,,,Hammock Cove,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.4,https://www.caribjournal.com/2025/01/11/best-all-incusive-resorts-caribbean-2025-guide/,Caribbean Journal,2026-01-30T10:05:23.082869
Spice Island Beach Resort,,Grenada,,Grenada,,,unclear,luxury,,,,,,,"Family-led leadership, commitment to excellence",Janelle Hopkin,President and Managing Director,,,Spice Island Beach Resort,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.4,https://www.caribjournal.com/2025/07/08/grenada-spice-resort-manager/,Caribbean Journal,2026-01-30T10:05:14.572582
Wyndham Grand Barbados Sam Lord’s Castle Resort,Wyndham Grand,Barbados,,Barbados,,,unclear,resort,,,,,,,"Hosting the Caribbean Hospitality Industry Exchange Forum (CHIEF) and Taste of the Caribbean events from November 16–18, 2025.",Vanessa Ledesma,CEO,,,CHTA,LOW,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.4,https://www.caribjournal.com/2025/07/08/taste-of-the-caribbean-barbados/,Caribbean Journal,2026-01-30T10:05:17.530484
Rollezz Villas Beach Resort,,"Old Bight, Cat Island",,Bahamas,,,unclear,resort,,,,Carl and Yvonne Rolle,,"Beachfront villas, kitchenettes or full kitchens, restaurant","Small, family-run resort emphasizing a personal experience and authentic island life. Known for its secluded beach and focus on relaxation.",Carl Rolle,Owner,,,Rollezz Villas Beach Resort,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.4,https://www.caribjournal.com/2025/08/09/bahamas-resort-cat-island/,Caribbean Journal,2026-01-30T10:05:36.685761
Kempinski Grace Bay,Kempinski,Grace Bay,,Turks and Caicos,,,unclear,hotel and residential,new_construction,,JTRE,,,,Low-density hotel and residential project set on 11 acres.,,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.35000000000000003,https://www.caribjournal.com/cj-invest-news/projects/,Caribbean Journal,2026-01-30T10:05:59.617630
Rollezz Villas,,Cat Island,,The Bahamas,,,unclear,resort,,,,,,Beachfront,Family run and authentic.,,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.30000000000000004,https://www.caribjournal.com/2026/01/29/caribbean-vacation-beach-destinations/,Caribbean Journal,2026-01-30T10:04:32.038464
"ACOYA Curaçao Resort, Villas & Spa",,Willemstad,,Curacao,,,unclear,resort,,,,,,Lagoon-style pool and a small inland lake,"Built around a lagoon-style pool and a small inland lake, with a great value at $152 per night.",,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.30000000000000004,https://www.caribjournal.com/2026/01/29/caribbean-vacation-beach-destinations/2/,Caribbean Journal,2026-01-30T10:05:33.281240
Ambergris Cay,,Providenciales,,Turks and Caicos,,,unclear,resort,,,,,,bungalows and luxury villas with private pools,"Located on a private island, offers bone fishing, hiking, s’mores",,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.30000000000000004,https://www.caribjournal.com/2025/01/11/best-all-incusive-resorts-caribbean-2025-guide/,Caribbean Journal,2026-01-30T10:05:23.082869
Lopesan Costa Bavaro Resort Spa and Casino,Lopesan,Punta Cana,,Dominican Republic,,,unclear,resort,,,,,,"swim-up rooms, The Boardwalk shopping promenade",Family resort,,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.30000000000000004,https://www.caribjournal.com/2025/01/11/best-all-incusive-resorts-caribbean-2025-guide/,Caribbean Journal,2026-01-30T10:05:23.082869
The Verandah,,Antigua,,Antigua and Barbuda,,,unclear,resort,,,,,,"pickleball, two beaches, hotel bar","Adults-only resort, classic Caribbean cottages",,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.30000000000000004,https://www.caribjournal.com/2025/01/11/best-all-incusive-resorts-caribbean-2025-guide/,Caribbean Journal,2026-01-30T10:05:23.082869
The Caves,,Negril,,Jamaica,,,unclear,boutique,,,,,,"Blackwell Rum Bar, spa",,,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.30000000000000004,https://www.caribjournal.com/2025/01/11/best-all-incusive-resorts-caribbean-2025-guide/,Caribbean Journal,2026-01-30T10:05:23.082869
Warwick Paradise Island,Warwick,Paradise Island,,Bahamas,,,unclear,resort,,,,,,pool,Adults-only resort,,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.30000000000000004,https://www.caribjournal.com/2025/01/11/best-all-incusive-resorts-caribbean-2025-guide/,Caribbean Journal,2026-01-30T10:05:23.082869
Cayman Brac Beach Resort,,Cayman Brac,,Cayman Islands,,,unclear,resort,,,,,,"beachfront, on-site dive shop, pool",Classic dive hotel,,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.30000000000000004,https://www.caribjournal.com/2025/07/08/cayman-brac/,Caribbean Journal,2026-01-30T10:05:22.029840
Le Soleil d’Or,,Cayman Brac,,Cayman Islands,,,unclear,luxury estate,,,,,,"orchard, private beach club, organic kitchen",Located on the island’s bluffside farmland,,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.30000000000000004,https://www.caribjournal.com/2025/07/08/cayman-brac/,Caribbean Journal,2026-01-30T10:05:22.029840
Long Bay Beach Resort,,Tortola,,British Virgin Islands,,,unclear,resort,,,,,,1748 Restaurant (inside an 18th-century rum distillery),Blends minimalist architecture with natural textures. Farm-to-table dinners.,,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.30000000000000004,https://www.caribjournal.com/2025/07/07/tortola-long-bay-beach/,Caribbean Journal,2026-01-30T10:05:28.538749
Loblolly Beach Cottages,,Anegada,,British Virgin Islands,,,unclear,beach stay,,,,,,,"Informal and well spaced cottages built for travelers who plan to spend most of their time outside, moving between water and shade.",,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.30000000000000004,https://www.caribjournal.com/2026/01/29/caribbean-vacation-beach-destinations/2/,Caribbean Journal,2026-01-30T10:05:33.281240
Margaritaville Beach Resort Nassau,Margaritaville,Nassau,,Bahamas,,,unclear,resort,,,,,,"pools, waterpark access, dining, and bars, JWB Prime Steak and Seafood, Frank & Lola’s Pizzeria, Changes in Latitude Bar, FlowRider","Located on the beach in Nassau, downtown Nassau is an easy walk.",,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.30000000000000004,https://www.caribjournal.com/2026/01/28/united-airlines-nassau-flights-newark/,Caribbean Journal,2026-01-30T10:05:46.930097
Baha Mar,,Nassau,,Bahamas,,,unclear,resort,new_construction,,,,$350 million,,Expansion will include a fourth resort.,,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.30000000000000004,https://www.caribjournal.com/cj-invest-news/hotelsdevelopment/,Caribbean Journal,2026-01-30T10:05:53.144877
Equinox Resort Anguilla Port Nimara,,Anguilla,,Anguilla,,,unclear,luxury resort,new_construction,,,,,Residential component and a 118-berth marina that will be the first superyacht marina on the island.,,,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.30000000000000004,https://www.caribjournal.com/cj-invest-news/projects/,Caribbean Journal,2026-01-30T10:05:59.617630
Zemi Beach House,,Anguilla,,Anguilla,,,unclear,hotel,acquisition,,,Dart,,,"Acquired by Dart, who also owns The Ritz-Carlton, Grand Cayman, The Kimpton Seafire, The Four Seasons Anguilla, and The Hotel Indigo Grand Cayman.",,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.30000000000000004,https://www.caribjournal.com/cj-invest-news/transactions/,Caribbean Journal,2026-01-30T10:06:07.617999
Princess Grand Jamaica,Princess,Green Island,,Jamaica,,,unclear,,,,,,,,"Hosting Love Caribbean – Jamaica Edition event from May 11 to May 14, 2026.",,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.30000000000000004,https://www.caribjournal.com/caribbean-travel-advisor/,Caribbean Journal,2026-01-30T10:06:31.828659
Princess Senses The Mangrove,Princess,Green Island,,Jamaica,,,unclear,,,,,,,,"Hosting Love Caribbean – Jamaica Edition event from May 11 to May 14, 2026.",,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.30000000000000004,https://www.caribjournal.com/caribbean-travel-advisor/,Caribbean Journal,2026-01-30T10:06:31.828659
Grand Lucayan resort,,,,The Bahamas,,,unclear,resort,,,Concord Wilshire,government of The Bahamas,$827 million,,"Concord Wilshire signed a deal to buy the resort for $120 million, with plans for ambitious development.",,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.25,https://www.caribjournal.com/cj-invest-news/realestate-cj-invest-news/,Caribbean Journal,2026-01-30T10:06:02.434531
Rabot Hotel from Hotel Chocolat,Hotel Chocolat,,,Saint Lucia,,,unclear,resort,,,,,,,Adults-only resort set on a cacao farm.,,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.2,https://www.caribjournal.com/2026/01/29/american-airlines-venezuela-flights/,Caribbean Journal,2026-01-30T10:04:40.838188
Maca Bana,,,,Grenada,,,unclear,resort,,,,,,"Pool, Aquarium Restaurant, beach access, hot tubs in some villas","Suits travelers who value independence, privacy, and setting over programming. Good for couples, small groups, and repeat Caribbean visitors. Villas and studio-style units with kitchens.",,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.2,https://www.caribjournal.com/2026/01/27/maca-bana-caribbean-resort-villas/,Caribbean Journal,2026-01-30T10:05:48.710466
Sea Breeze Beach House,,,,Barbados,,,unclear,,,,,Ocean Hotels Barbados,,,Part of the PEAKS26 offer for travel advisors.,,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.2,https://www.caribjournal.com/caribbean-travel-advisor/,Caribbean Journal,2026-01-30T10:06:31.828659
O2 Beach Club & Spa,,,,Barbados,,,unclear,,,,,Ocean Hotels Barbados,,,Part of the PEAKS26 offer for travel advisors.,,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.2,https://www.caribjournal.com/caribbean-travel-advisor/,Caribbean Journal,2026-01-30T10:06:31.828659
The Rockley,,,,Barbados,,,unclear,,,,,Ocean Hotels Barbados,,,Part of the PEAKS26 offer for travel advisors.,,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.2,https://www.caribjournal.com/caribbean-travel-advisor/,Caribbean Journal,2026-01-30T10:06:31.828659
The Crane Resort,,,,Barbados,,,unclear,,,,,,,,Participating in the All Aisles Lead to Barbados program.,,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.2,https://www.caribjournal.com/caribbean-travel-advisor/,Caribbean Journal,2026-01-30T10:06:31.828659
Waves Resort & Spa,,,,Barbados,,,unclear,,,,,,,,Participating in the All Aisles Lead to Barbados program.,,,,,,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.2,https://www.caribjournal.com/caribbean-travel-advisor/,Caribbean Journal,2026-01-30T10:06:31.828659
